County,Percent of Adults Without a High School Education,Percent of Residents Aged 65 and Older,Percent of Residents Below the Poverty Line,Percent of Residents Who Are Food Insecure,Percent of Residents Who Are Non-White,Percent of Residents Who Are Uninsured,Percent of Residents Whose Primary Language Is Not English,Percent of Residents With a Disability,"Percent of Workforce (Age 16+) Who Are Unemployed, 2018-2022",Overall Cancer Incidence,Cancer Incidence Among Female Residents,Cancer Incidence Among Male Residents,Cancer Incidence Among Adolescent and Young Adult Residents (Ages 15-39),Cancer Incidence Among Black (Non-Hispanic) Residents,Cancer Incidence Among White (Non-Hispanic) Residents,Liver Cancer Incidence,Melanoma Incidence,Oral Cancer Incidence,Ovarian Cancer Incidence,Pancreatic Cancer Incidence,Uterine Cancer Incidence,Overall Cancer Mortality,Cancer Mortality Among Female Residents,Cancer Mortality Among Male Residents,Cancer Mortality Among Adolescent and Young Adult Residents (Ages 15-39),Cancer Mortality Among Black (Non-Hispanic) Residents,Cancer Mortality Among White (Non-Hispanic) Residents,Liver Cancer Mortality,Melanoma Mortality,Oral Cancer Mortality,Ovarian Cancer Mortality,Pancreatic Cancer Mortality,Uterine Cancer Mortality
Alcona,0.1015581213,0.361,0.1583728278,0.149,0.0620238328,0.043,0.018700091,0.23,0.063,445.851427011956,420.044736440643,473.547605144396,Suppressed,,,Suppressed,18.7606364453581,Suppressed,Suppressed,Suppressed,Suppressed,180.622592433288,156.898439773173,208.740228915531,0,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Alger,0.0832530618,0.25,0.1025083184,0.134,0.1804646966,0.035,0.0209356725,0.183,0.051,371.092128897961,304.869685523001,440.64051938543,Suppressed,,,Suppressed,Suppressed,Suppressed,0,Suppressed,Suppressed,144.268598163167,131.01692788583,164.437403618494,0,,,Suppressed,Suppressed,0,Suppressed,Suppressed,0
Allegan,0.0914814815,0.174,0.0951143189,0.087,0.1380908403,0.051,0.0656870455,0.106,0.034,417.045093647193,404.753387024778,438.038542903337,71.0192319963785,,,6.20562675330023,24.6303928831342,11.3246623251157,7.45820419161979,11.8974372315545,29.3081808811682,166.616850897261,144.608998944609,194.198551623425,Suppressed,,,3.86947472557368,3.21243587508653,3.45249622633611,5.39859305824813,10.93366238254,Suppressed
Alpena,0.0848415328,0.24,0.1650926774,0.14,0.0575213587,0.055,0.0288998477,0.199,0.074,483.590692266438,465.069885410152,516.710280905869,83.7590569307852,,,8.61815990376685,20.6290784630393,18.6645264924234,Suppressed,13.2921132663575,28.4267926466658,182.065644350152,167.594032907809,202.233660720223,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,10.8824530429278,Suppressed
Antrim,0.0690465247,0.279,0.0938019878,0.115,0.067069563,0.056,0.0210706902,0.155,0.046,417.283141396423,337.784099530976,508.484651240704,Suppressed,,,Suppressed,40.190780816654,11.3304004175816,Suppressed,12.681108868934,28.360872351442,140.323180926738,115.456809957098,171.345024483849,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,14.7817210471418,Suppressed
Arenac,0.1154472869,0.256,0.1355852528,0.144,0.0655312354,0.057,0.0162941299,0.195,0.072,442.972031217866,389.385277921064,496.775982477072,Suppressed,,,Suppressed,27.2764057274104,Suppressed,Suppressed,Suppressed,Suppressed,165.813399172195,147.277496192336,183.663258723062,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Baraga,0.0983918129,0.229,0.1217379234,0.138,0.278835658,0.047,0.0250632911,0.197,0.049,339.990093481994,277.112886030909,410.11005494095,Suppressed,,,Suppressed,Suppressed,Suppressed,0,Suppressed,Suppressed,181.581278481562,147.019422513177,225.937675518165,0,,,Suppressed,Suppressed,0,Suppressed,Suppressed,0
Barry,0.0740877107,0.188,0.0833979453,0.093,0.0742397852,0.049,0.0349867513,0.136,0.053,425.018815808729,391.109771292445,470.352216551746,86.3440978346413,,,5.86197681019684,24.2834244899694,10.2077330343195,Suppressed,11.2055298971003,33.9419910718372,156.36134670148,135.181899105177,185.868594413207,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,13.2318460518555,Suppressed
Bay,0.0956600144,0.208,0.1528473472,0.131,0.1107255764,0.052,0.020242833,0.158,0.048,489.820071201491,466.215892344432,529.999339083114,82.0436404706923,,,8.37318821622546,25.6243308262897,13.6140828045382,9.24658688366538,14.3332419446884,34.0002159999967,174.609885233744,151.827306918035,207.370361991236,Suppressed,,,5.24107086580063,3.02481219317473,Suppressed,6.34415555982687,12.1220046490297,Suppressed
Benzie,0.0728818097,0.27,0.1044541681,0.109,0.0763096688,0.067,0.0292908828,0.156,0.045,463.916848701609,390.685729808784,542.404646489965,Suppressed,,,Suppressed,26.0479698900653,16.7369613051385,Suppressed,13.2814511350895,31.6608042366451,145.677992997807,117.408309483755,178.168355213095,Suppressed,,,Suppressed,Suppressed,Suppressed,0,11.5348239005223,Suppressed
Berrien,0.091261268,0.204,0.1571392663,0.122,0.2628136003,0.063,0.0692703432,0.138,0.066,443.41655220272,424.72911409281,472.109077430102,74.6294753780567,481.871903421395,444.923969235354,5.87963772036153,16.1344086559937,11.8401986370207,9.30891588667861,12.7336089756502,29.6662840418065,160.1013883899,143.095336249932,183.814877243494,Suppressed,189.122578879919,159.156681001854,5.15211088185784,Suppressed,2.15899099192325,7.02885028247858,10.53650726303,4.8110658140083
Branch,0.1213064216,0.188,0.150160493,0.115,0.1111061502,0.107,0.1129392743,0.147,0.049,408.42732001939,394.968463209863,434.729144189597,66.9348383915141,,,7.53578258426012,10.3570140722429,8.85718035930202,Suppressed,10.5395508126194,34.8065670781503,173.743638296809,139.411637908314,214.408431192446,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,10.969588843208,Suppressed
Calhoun,0.0948849996,0.18,0.1483479434,0.13,0.2370327809,0.058,0.0686542561,0.143,0.068,459.001832036747,437.930419078629,492.914687290429,73.6932852757048,478.598777184685,459.498579697579,8.38217556756811,15.9423693757077,11.2725487343128,8.99619638791605,13.2600545358918,31.2067040702099,178.144474810602,149.638447903349,217.825835441183,Suppressed,190.160014148547,180.431189963225,3.92331198446123,2.50030469441348,3.69981247604485,6.67720356802567,13.7091758791836,Suppressed
Cass,0.1104509594,0.215,0.1285672372,0.112,0.1531857996,0.057,0.039161835,0.163,0.05,421.673232630266,383.984996544729,465.614516093713,60.2637049674352,,,7.24037740332768,17.288998964909,13.0415717265626,Suppressed,16.9077543245333,30.9762528467022,177.907302697648,151.528807612334,208.340050816825,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,15.8231319324291,Suppressed
Charlevoix,0.0614379085,0.254,0.0863404058,0.107,0.0737372966,0.072,0.0286534093,0.142,0.038,384.805636122724,373.801918308265,401.216408283501,78.4822271367686,,,Suppressed,23.2604022843697,Suppressed,Suppressed,12.7537822699692,19.8988256627972,156.781465455189,142.612226877462,175.366397579715,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,17.0875674839627,Suppressed
Cheboygan,0.1070439439,0.282,0.1191909653,0.137,0.0973589016,0.06,0.0375571654,0.191,0.072,413.169925199427,384.631054479937,447.430919977303,71.9098661867079,,,Suppressed,19.5423183134219,15.8149223308332,Suppressed,16.1377450648005,36.0733527581704,165.458162806345,140.456855537373,191.636674361873,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,13.0416280439193,Suppressed
Chippewa,0.0830399256,0.188,0.1646741927,0.147,0.3235069539,0.069,0.0447582028,0.18,0.077,431.718852744625,401.581601271726,476.570987980364,64.7329126409218,,,Suppressed,17.0187597195979,14.1949190677926,Suppressed,11.3527060462512,27.5611832878216,178.886363387637,159.710131198951,202.065629388503,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,10.0544223180636,Suppressed
Clare,0.1420879209,0.244,0.2212809106,0.183,0.0616168785,0.117,0.0500932045,0.233,0.093,485.13963663809,467.048716583038,508.340991217261,97.2280730043673,,,8.36439804269614,13.6057084217673,13.4892802766965,Suppressed,17.2648968834501,28.4604039913502,210.980611701245,172.78431931914,254.031847209835,Suppressed,,,8.78246878808131,Suppressed,Suppressed,Suppressed,16.8745799861191,Suppressed
Clinton,0.0543208284,0.178,0.095543108,0.087,0.1147269997,0.04,0.040747549,0.129,0.037,432.259355236434,399.526529455935,473.476418587009,85.3600617553431,,,6.26508032977901,22.8439283163188,10.2121625045664,8.25676052775612,10.9628058739935,24.0304944465925,147.41048561667,122.168212153245,180.437096796767,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,11.3552863108845,Suppressed
Crawford,0.091393405,0.259,0.1383183322,0.146,0.0750170493,0.055,0.0179915986,0.22,0.061,446.897154344126,425.04449859469,467.92252194143,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,180.708189607908,135.184095110129,228.272816009502,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Delta,0.0861842327,0.249,0.1324872396,0.131,0.0910448166,0.053,0.0123154114,0.177,0.052,436.521988411416,389.118386598685,494.678240293646,60.8240253471024,,,Suppressed,19.5629332407918,10.790044598292,Suppressed,13.115468421129,24.9779147149848,171.592619290826,142.345591529085,209.029624014652,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,14.5037896265127,Suppressed
Dickinson,0.0475069651,0.231,0.0970269106,0.108,0.0650036627,0.049,0.0208814824,0.167,0.038,376.210868366121,361.63535923648,397.11910640183,83.4089526479334,,,Suppressed,Suppressed,12.322560328773,Suppressed,12.8210262457998,22.8328345307434,143.240556144173,110.497812211774,183.831679965052,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,12.2475454465268,Suppressed
Eaton,0.0631980984,0.192,0.0760870579,0.102,0.1848778788,0.044,0.0648929894,0.158,0.048,447.037755355728,411.242595591036,493.163343725737,68.2257400644334,,,6.24331263501968,21.9049966094984,12.5988421168883,10.4552152833219,12.9136795756941,22.420927921733,163.064080001807,144.485825495075,187.363933656486,Suppressed,,,4.7687999316834,Suppressed,Suppressed,6.04796597742818,13.7358391775523,Suppressed
Emmet,0.0525728679,0.232,0.0836899667,0.105,0.1069793379,0.062,0.0329369834,0.128,0.038,415.910030170504,411.79181161782,428.01926291402,78.2933077351796,,,Suppressed,27.9441851213947,14.1352079237839,Suppressed,15.2407077539417,24.8213099896614,152.627279869091,144.617594885944,164.432650667795,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,10.6688118269267,Suppressed
Genesee,0.0999384154,0.18,0.1624978144,0.139,0.2883784051,0.048,0.0372415417,0.177,0.085,412.741120430672,385.567306950038,450.447851221894,66.5073081487912,363.867361010638,411.480220503993,5.82365434291792,17.2821715938122,12.0838971124809,8.81783843276993,13.6691891603212,26.220476647732,170.665781825595,150.657808061862,198.431130041767,12.2149995988952,187.685058014326,169.602066628015,2.92108530414906,1.96622946826828,2.9998255181838,7.07028042844762,13.3316660413349,2.12344013352176
Gladwin,0.1143797174,0.268,0.1419775156,0.143,0.0573033267,0.086,0.0377780539,0.201,0.069,479.700533296427,438.632439323105,528.422456309713,87.0506655779072,,,Suppressed,18.5407077925274,12.0287402942635,Suppressed,10.6692532637826,24.0076945591743,196.735697165156,163.5196611126,235.215388080083,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,14.1785436050035,Suppressed
Gogebic,0.0474356874,0.277,0.1410374354,0.126,0.0919366993,0.051,0.0198873761,0.168,0.06,331.286378696051,340.618154522274,337.658082384906,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,144.053356446199,118.880796733202,176.783087370549,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Grand Traverse,0.0609853285,0.207,0.1040393501,0.107,0.0818549022,0.051,0.0285131485,0.124,0.039,468.379049119811,438.704672181642,513.363535819662,88.5908201265948,,,5.08358031162361,40.0700462227616,13.9932976429323,10.9762012332921,12.8062013093387,25.0237645646287,140.108802058748,119.773963217133,169.690099718107,Suppressed,,,3.74152787686275,Suppressed,Suppressed,6.00352609248768,10.4414927523326,Suppressed
Gratiot,0.0888484595,0.175,0.1411774657,0.127,0.1534405547,0.051,0.0397076304,0.157,0.049,465.671332600438,464.821000837843,482.38877989572,85.1607034233872,,,Suppressed,22.6300937426234,12.7830963421144,Suppressed,13.9019861822043,31.1001645995745,176.162530529299,165.742808212291,194.157045651745,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,13.9760848268925,Suppressed
Hillsdale,0.1046242935,0.204,0.1515295825,0.128,0.0653201453,0.07,0.0419928661,0.152,0.044,425.357128927434,406.501420561789,453.151548886953,64.0442788180572,,,6.29730702527463,21.4684494899949,11.747664938218,13.349293375782,12.0411358226458,30.0718657544169,190.581492118172,157.528692659464,236.484362636487,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,13.3116574773873,Suppressed
Houghton,0.0615579144,0.174,0.1727321143,0.12,0.0891377559,0.063,0.0737921348,0.114,0.062,311.921982396762,275.272121865765,356.365352123772,39.2103240432056,,,Suppressed,14.7400214476201,12.2442374637065,Suppressed,7.98167932789403,20.6746663728758,170.226540617185,140.345639642114,209.617832006308,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,11.4033526946457,Suppressed
Huron,0.0890836215,0.261,0.1126121779,0.118,0.0561012047,0.061,0.0370926315,0.159,0.053,443.792816423623,453.237467151889,438.105564610496,104.396427984784,,,6.84489401515584,19.7957069034448,10.096534260238,Suppressed,13.9387415274583,32.0859235896695,159.214700932683,145.18470885316,178.930488004937,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,11.7559631617019,Suppressed
Ingham,0.0617121421,0.142,0.1653636302,0.124,0.3189743045,0.05,0.1306685813,0.136,0.064,430.284114512915,415.250884698803,455.501238840132,73.7497513878389,419.964330073454,426.501499921257,6.70028964172151,16.4575613580607,10.2622318042963,9.56116708925362,13.4819307449868,28.7278629232954,154.863519799239,132.097898438076,186.581823719373,6.64248435682696,173.755469299146,158.837829402391,4.30501673273558,2.8315329862313,3.5529363508439,6.7176540091942,12.3706243503986,2.63164384542953
Ionia,0.0942695538,0.153,0.1034197813,0.1,0.1411127612,0.067,0.0251931847,0.133,0.053,415.971285305374,418.925778604253,429.655410782121,84.1861470173396,,,7.439836970246,16.3510448014619,13.570324096429,Suppressed,11.4021568825508,21.7397097897126,156.722070563395,142.892955794313,176.595297324645,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,9.65914269653421,Suppressed
Iosco,0.1103598279,0.3,0.1507885678,0.142,0.0776097002,0.064,0.0382959344,0.207,0.074,432.495117293898,396.780751085786,475.296043705846,Suppressed,,,12.2441457922097,19.2601862292956,15.6543605374292,Suppressed,9.76555093153678,22.2500084370442,184.98484669156,153.564246494969,223.815717776916,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,10.4415976727435,Suppressed
Iron,0.0837761801,0.305,0.1469482728,0.14,0.0689684937,0.06,0.0164597949,0.208,0.046,407.522078398434,401.573500853395,415.668093085548,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,178.76870670699,153.400567021836,208.997929570349,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
