County,Percent of Adults Without a High School Education,Percent of Residents Aged 65 and Older,Percent of Residents Below the Poverty Line,Percent of Residents Who Are Food Insecure,Percent of Residents Who Are Non-White,Percent of Residents Who Are Uninsured,Percent of Residents Whose Primary Language Is Not English,Percent of Residents With a Disability,"Percent of Workforce (Age 16+) Who Are Unemployed, 2018-2022",Overall Cancer Incidence,Cancer Incidence Among Female Residents,Cancer Incidence Among Male Residents,Cancer Incidence Among Adolescent and Young Adult Residents (Ages 15-39),Cancer Incidence Among Black (Non-Hispanic) Residents,Cancer Incidence Among White (Non-Hispanic) Residents,Liver Cancer Incidence,Melanoma Incidence,Oral Cancer Incidence,Ovarian Cancer Incidence,Pancreatic Cancer Incidence,Uterine Cancer Incidence,Overall Cancer Mortality,Cancer Mortality Among Female Residents,Cancer Mortality Among Male Residents,Cancer Mortality Among Adolescent and Young Adult Residents (Ages 15-39),Cancer Mortality Among Black (Non-Hispanic) Residents,Cancer Mortality Among White (Non-Hispanic) Residents,Liver Cancer Mortality,Melanoma Mortality,Oral Cancer Mortality,Ovarian Cancer Mortality,Pancreatic Cancer Mortality,Uterine Cancer Mortality
Macomb,0.0952840776,0.175,0.0981591567,0.105,0.2373889098,0.051,0.1479998413,0.14,0.057,461.055175114711,436.284576611018,500.701887762926,79.2749062239542,463.082690762855,461.074967547128,7.30718557135308,19.8595453536766,12.250798065864,10.0973451745162,15.3698974669372,29.3662671288004,165.469321744816,147.362380566444,192.013563460997,7.88265541141413,207.744582210872,164.700802861091,4.46785441005721,1.68724179207386,2.35518987835448,7.6802556231102,13.5448853478841,3.5265518327151
Manistee,0.1114208806,0.266,0.1125458919,0.122,0.1223162264,0.045,0.0425143237,0.189,0.066,437.994085114232,412.959770556936,472.133518161554,83.0534824971515,,,Suppressed,32.7666214864637,11.862295038656,Suppressed,13.0448464077475,28.344240946474,176.774333033406,146.383370817461,210.980121825402,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,13.3118238915599,Suppressed
Marquette,0.0534717264,0.197,0.1356505984,0.122,0.0856936242,0.041,0.0278487803,0.146,0.056,388.485731281966,364.788973904471,418.636870387907,63.9226693039785,,,Suppressed,15.8363746601828,11.7560294760869,Suppressed,9.73876567237758,21.3478064039619,151.30486710063,129.660662631788,177.529458761775,Suppressed,,,4.72257180451587,Suppressed,Suppressed,Suppressed,9.49471552605615,Suppressed
Mason,0.0710855771,0.249,0.1368019424,0.134,0.0978819659,0.066,0.0257084218,0.165,0.048,397.925604414402,387.791177494035,413.862317522231,69.3534415143146,,,Suppressed,22.4192344445827,11.1579678391847,Suppressed,10.9640052569515,34.3846309375739,167.592782169726,134.898748365297,211.318157240054,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,9.49931747510006,0
Mecosta,0.0772730086,0.197,0.1796781804,0.137,0.0975129585,0.078,0.0458045358,0.175,0.055,455.859046451125,425.314130804183,498.442999999094,86.0446858777096,,,7.49639177978247,18.5641068346225,8.43588548416652,Suppressed,13.7198348730132,32.3106733608185,190.282259512225,163.084598530163,228.113320769328,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,12.584334672151,Suppressed
Menominee,0.0886476942,0.255,0.1075418994,0.112,0.0785644177,0.05,0.0246946599,0.164,0.045,388.663436746555,360.783669617451,423.802247334085,75.2079910378758,,,Suppressed,14.6090167078333,13.0330004215992,Suppressed,10.1403040380746,25.5842822177406,161.304111721682,132.719039397883,197.813134789277,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Midland,0.0556179434,0.195,0.1014653263,0.108,0.0985832844,0.039,0.036185584,0.138,0.05,463.344280261952,445.042743811526,491.468509425527,91.257221588341,,,6.86390748434529,29.7069655472488,11.4713281503113,7.70414791300984,17.7436617755501,27.023722991282,150.548441689145,136.914846591226,168.790173703651,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,15.8685026939437,Suppressed
Missaukee,0.1071398106,0.209,0.1120395748,0.122,0.0791967659,0.091,0.0361860596,0.181,0.069,450.70585872633,421.568798076113,480.904883555128,Suppressed,,,Suppressed,33.4555413447037,18.6289352874628,Suppressed,Suppressed,Suppressed,156.782561829903,130.979503327161,187.398818221972,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Monroe,0.0876690585,0.189,0.1090500428,0.113,0.1011025494,0.036,0.0346348636,0.148,0.057,390.035352226732,358.857889059759,433.453277920403,67.8644733658679,,,6.48956547629762,19.3731984349641,11.2495575733479,6.52395013875986,11.5568033752705,19.3548745626998,165.318574353447,137.044230139888,204.451968677569,Suppressed,,,4.14553159298014,2.5205460878548,2.86683925787788,Suppressed,11.1220633274728,Suppressed
Montcalm,0.1213493793,0.174,0.1229545277,0.121,0.1141238547,0.084,0.0363320707,0.165,0.042,437.786813364015,409.742346932174,478.540903769062,89.0713686474393,,,6.65893427195887,15.3377825436644,14.7160589403967,Suppressed,11.5467657203508,28.0974991365763,168.840592215708,137.962235017068,207.11790650397,Suppressed,,,5.92625696100399,Suppressed,Suppressed,Suppressed,11.5279011396066,Suppressed
